Frame number,6894
First frame,1
Point frequency,200
Analog frequency,1000

Time,Force.Fx1,Force.Fy1,Force.Fz1,Force.Fx2,Force.Fy2,Force.Fz2,accel.x,accel.y,accel.z,accel.x,accel.y,accel.z
s,N,N,N,N,N,N,mm/s�,mm/s�,mm/s�,mm/s�,mm/s�,mm/s�
0.057,0.0783888,-0.216454,0.164453,-3.66308e-17,5.83749e-17,-2.28229e-16,-17.6031,9.75776,-10.451,4.64093,4.35861,10.1358
0.058,0.0556619,-0.0947896,0.0616776,-5.45035e-17,8.239e-17,-3.58403e-16,-18.2354,9.88992,-10.9595,5.50552,4.26779,9.66533
0.059,0.0359587,-0.0135375,-0.00476666,-7.42869e-17,1.07074e-16,-5.10491e-16,-18.8853,10.0427,-11.4897,6.21877,4.19186,9.30927
0.06,0.0203431,0.0347926,-0.0424006,-9.32913e-17,1.27803e-16,-6.69156e-16,-19.5632,10.208,-12.0507,6.76563,4.11727,9.02296
0.061,0.00893953,0.0584319,-0.058983,-1.07e-16,1.37355e-16,-8.0636e-16,-20.2743,10.3779,-12.6509,7.14042,4.04325,8.75748
0.062,0.0013172,0.0650567,-0.0614848,-1.08654e-16,1.25485e-16,-8.77783e-16,-21.0174,10.5452,-13.295,7.34671,3.98871,8.46846
0.063,-0.00322231,0.0611093,-0.0555927,-8.90011e-17,7.88191e-17,-8.19986e-16,-21.7841,10.7044,-13.9822,7.39662,3.99546,8.11945
0.064,-0.00544812,0.051554,-0.045577,-3.63629e-17,-1.86904e-17,-5.49425e-16,-22.5593,10.8513,-14.7061,7.31082,4.12589,7.68133
0.065,-0.00607831,0.0399136,-0.0343846,6.27299e-17,-1.84411e-16,3.50886e-17,-23.3219,10.9846,-15.4572,7.12047,4.45436,7.13129
0.066,-0.00571595,0.0284623,-0.0238499,2.22072e-16,-4.34404e-16,1.04444e-15,-24.0471,11.1059,-16.2259,6.87058,5.05228,6.45377
0.067,-0.00482612,0.0184849,-0.0149495,4.53162e-16,-7.79132e-16,2.58341e-15,-24.7089,11.2204,-17.0047,6.6228,5.96852,5.64375
0.068,-0.00373912,0.0105445,-0.00804986,7.61121e-16,-1.21714e-15,4.72439e-15,-25.2834,11.3363,-17.7891,6.45506,7.20997,4.71172
0.069,-0.00266835,0.004722,-0.00312315,1.13892e-15,-1.72657e-15,7.46848e-15,-25.7515,11.4638,-18.5763,6.45684,8.72997,3.68744
0.07,-0.00173458,0.00081137,8.18319e-05,1.55984e-15,-2.25458e-15,1.06925e-14,-26.1014,11.6135,-19.3634,6.71978,10.4319,2.61934
0.071,-0.000990897,-0.00153379,0.00191478,1.96848e-15,-2.70542e-15,1.40827e-14,-26.33,11.7942,-20.1456,7.32471,12.1888,1.56861
0.072,-0.000445177,-0.00269928,0.00274035,2.27103e-15,-2.92853e-15,1.7059e-14,-26.4434,12.0117,-20.9162,8.32709,13.8711,0.599979
0.073,-7.83387e-05,-0.00304755,0.00288829,2.32631e-15,-2.70931e-15,1.8698e-14,-26.4561,12.2678,-21.6674,9.74409,15.3727,-0.227994
0.074,0.000141915,-0.00288445,0.00262899,1.94006e-15,-1.7662e-15,1.76715e-14,-26.3894,12.5599,-22.3918,11.5462,16.6269,-0.871293
0.075,0.000251631,-0.00244678,0.00216647,8.65959e-16,2.4037e-16,1.22217e-14,-26.2689,12.8818,-23.0827,13.656,17.6121,-1.30601
0.076,0.000284712,-0.00190342,0.00164224,-1.18176e-15,3.68051e-15,2.08552e-16,-26.1223,13.2244,-23.7336,15.9547,18.3477,-1.5301
0.077,0.000269787,-0.00136408,0.00114504,-4.49826e-15,8.90065e-15,-2.07289e-14,-25.9776,13.5777,-24.3385,18.2942,18.8855,-1.56113
0.078,0.00022904,-0.000891348,0.000722659,-9.33379e-15,1.61342e-14,-5.28465e-14,-25.8605,13.9316,-24.892,20.5139,19.2956,-1.43128
0.079,0.000178306,-0.00051328,0.000393653,-1.58086e-14,2.53698e-14,-9.77493e-14,-25.7923,14.2783,-25.3914,22.4575,19.6513,-1.18068
0.08,0.000127878,-0.00023471,0.000157559,-2.3792e-14,3.61721e-14,-1.55578e-13,-25.7878,14.6134,-25.8383,23.9895,20.0144,-0.850667
0.081,8.36383e-05,-4.65596e-05,3.0357e-06,-3.27436e-14,4.74596e-14,-2.23897e-13,-25.8547,14.9367,-26.2378,25.0086,20.4255,-0.477653
0.082,4.8231e-05,6.71731e-05,-8.61659e-05,-4.15231e-14,5.72501e-14,-2.96293e-13,-25.9926,15.2523,-26.5974,25.4558,20.9002,-0.0885291
0.083,2.21233e-05,0.00012456,-0.000127175,-4.81826e-14,6.24068e-14,-3.6077e-13,-26.1949,15.569,-26.9229,25.3171,21.4311,0.302166
0.084,4.47481e-06,0.000142708,-0.000135588,-4.97739e-14,5.84347e-14,-3.98102e-13,-26.4493,15.8995,-27.2164,24.6209,21.9947,0.693021
0.085,-6.20622e-06,0.00013613,-0.000124257,-4.22203e-14,3.94089e-14,-3.8048e-13,-26.7402,16.2593,-27.476,23.431,22.5612,1.09437
0.086,-1.16084e-05,0.000116118,-0.00010293,-2.03273e-14,-1.85445e-15,-2.70931e-13,-27.0505,16.6662,-27.6972,21.8358,23.1037,1.52415
0.087,-1.33321e-05,9.07627e-05,-7.84035e-05,2.19657e-14,-7.32383e-14,-2.42147e-14,-27.364,17.1386,-27.8753,19.9368,23.6064,2.0006
0.088,-1.27361e-05,6.53497e-05,-5.497e-05,9.09702e-14,-1.82207e-13,4.09916e-13,-27.6667,17.6937,-28.0068,17.8361,24.0661,2.53377
0.089,-1.08785e-05,4.29225e-05,-3.497e-05,1.92124e-13,-3.33952e-13,1.07999e-12,-27.9484,18.3458,-28.0913,15.6251,24.4898,3.12065
0.09,-8.51788e-06,2.48717e-05,-1.93425e-05,3.28219e-13,-5.28627e-13,2.02147e-12,-28.2031,19.1049,-28.1316,13.3767,24.8906,3.74632
0.091,-6.1501e-06,1.14725e-05,-8.10779e-06,4.96864e-13,-7.57602e-13,3.2398e-12,-28.4294,19.9753,-28.1345,11.1424,25.2827,4.38918
0.092,-4.0606e-06,2.32791e-06,-7.53676e-07,6.87152e-13,-9.98753e-13,4.68698e-12,-28.6303,20.955,-28.1099,8.95334,25.6796,5.02607
